Avg. $R^2$,Sample Size,Selected,Size of Selected Subset,# Correct Variables Selected,Sum of Sq. Cannonical Correlations
0.9002427048037346,100.0,[11 12  6 18 14 26 17  7  5 20 13 19 15  9  4  3  8 10  2 16],20,18,19.665202417865054
0.9002427048037346,100.0,[16 15  6 18 12 11  4  8  3  5 19 20 13 14 10  9  2  7 17  0  1],21,20,19.999999999999996
0.9002427048037346,100.0,[ 7  6 15 14  5 10 11 13 12  3  0  8 17 18 19  4 16  9  1  2],20,20,20.0
0.9002427048037346,100.0,[ 4  5  7  8 17 15 13 18 10 16  6  9 14 12 11 19  3  0  1  2],20,20,19.999999999999996
0.9002427048037346,100.0,[ 9 26 19 17  1 11 16  5  4  8 12 20 15 18  6 10 13 14  7  0],20,18,19.665202417865054
0.9002427048037346,100.0,[ 0 14 16  5  3  8  4 15  2 11  9  6  1 10 17 19 12 13  7 18 25],21,20,19.999999999999996
0.9002427048037346,100.0,[ 3 18  9 10 17 19 13  2  6 16  1  4  5  7 12  0 11 14  8 15 30],21,20,19.999999999999996
0.9002427048037346,100.0,[15 19  8 14 17  2 16  1  3 10 12  0  4  7  9  6 11  5 18 13 21],21,20,20.0
0.9002427048037346,100.0,[ 6 18  1  5  2 10 15 19  3 13 17  9 14 16 12 11  4  7  8  0],20,20,20.0
0.9002427048037346,100.0,[ 6 21  8 19 13 10 15  9 12 11 18  0  5  3  4 16  7  2 17 14  1],21,20,20.0
0.9002427048037346,100.0,[ 7 14  0 15  9 11  6 12  3  1  4  5 19  8 10 16 13  2 18 17],20,20,20.0
0.9002427048037346,100.0,[10  7  9 16 17 19 15 18  0  5  1 14  2  6  3 11  8  4 13 12 22],21,20,19.999999999999996
0.9002427048037346,100.0,[15 18 13 19  5  2 12  7  0  6  9 17 16  3 10  8 14 11  4  1 42],21,20,20.0
0.9002427048037346,100.0,[16  4 12  0  2 17 19 14 10 13  3  1 15 11  8  6  5  7 18  9 25],21,20,19.999999999999996
0.9002427048037346,100.0,[12  6 11 10 19  7  1  9 13  3  5 14 16  2 17  4  0  8 15 18],20,20,20.0
0.9002427048037346,100.0,[ 6  7 19 17 18 13  0  5  4  9 12 11 15  3 16  2 14 10  8  1],20,20,19.999999999999996
0.9002427048037346,100.0,[ 2  0 16 21  4 18 14 17 15  8  3 19 13  5  6 10 12 11  7  9  1],21,20,19.999999999999996
0.9002427048037346,100.0,[12  9  1 19 18  6  4 16  3 11 14 10  8 20 26 15  7  5 17 13],20,18,19.665202417865054
0.9002427048037346,100.0,[ 8  3  7  6  9  5  1  0 16  2 12 15 19 10 11 14  4 17 13 18 23],21,20,20.0
0.9002427048037346,100.0,[12 10  8 15 14  3  2  0  7  5 17  1 19 16  6  4 11 13 18  9 34],21,20,20.0
0.9002427048037346,100.0,[ 2  1 19 11 15 18  9  7  3  5  8 12 10 14  4  6 13 16  0 17],20,20,20.0
0.9002427048037346,100.0,[ 5 14  2 15 13  7 12 17  3  0  8 16 19  6 18 10  1 11  4  9 25],21,20,19.999999999999996
0.9002427048037346,100.0,[13  5 15 18 19  7  3  2  8  1 16 17  0 14  4 11 12  6 10  9 34],21,20,20.0
0.9002427048037346,100.0,[ 0  3 17  5  6  2 11 10 13  8  7  4 19 14  9 18  1 16 12 15 25],21,20,20.0
0.9002427048037346,100.0,[ 3 16  4 13  8  7 10 11 20 26 15  2 14  9 19 18  6 17 12  5],20,18,19.665202417865054
0.9002427048037346,100.0,[17 14  9 18  7  2  8 11  6  5 16 15 19 13 12 10  4  1  3  0 24],21,20,19.999999999999996
0.9002427048037346,100.0,[12  5  7 15 14  4 19 18 11  6  0  2  9 10 17 13  3  1 16  8],20,20,20.0
0.9002427048037346,100.0,[ 6 18 11  0 10 12 19 14  2 13  4 15  5  8 16  3  9  7  1 17],20,20,20.0
0.9002427048037346,100.0,[17  8  5  9 16 12  3  2 18  0  1 13 11  7  4 14  6 19 15 10 25],21,20,20.0
0.9002427048037346,100.0,[18  4 16  1  6  7 17 10  5 15  3 13  9  0 19  8 11  2 12 14 49],21,20,19.999999999999996
0.9002427048037346,100.0,[ 8  6  0 16 26  2 17 15 14  7  5  4 20 19 12 10  9 11 13 18],20,18,19.665202417865054
0.9002427048037346,100.0,[18  3  2  7  9  4 19 11  5 12 16 17 14  8  1  6 13 15  0 10],20,20,20.0
